Label	AUC-ROC
vegetal	0.6714
fruite	0.7250
frais	0.7257
vegetal_vert	0.7021
doux	0.6607
gras	0.6466
floral	0.7355
boise	0.7579
vert	0.7219
aldehyde	0.7083
chimique	0.7015
empyreumatique	0.8053
balsamique	0.7390
aldehyde_frais	0.6980
fruit_exotique	0.7615
herbe	0.6944
legume	0.8060
fermentaire	0.6823
phenole	0.7853
epice	0.7246
fleur_d_arbuste	0.7650
cuit	0.7876
terreux	0.5990
fruit_sec	0.7481
fleur_du_jardin	0.7232
agrume	0.7582
oleagineux	0.7744
lactique	0.7277
soufre	0.9448
plante_aromatique	0.7756
animal	0.7022
fruit_a_coque	0.7863
moisi	0.6393
fruit_a_pepins	0.8601
torrefie	0.8496
medicinal	0.8182
vegetal_sec	0.6804
rose	0.8757
huile	0.7147
lactone	0.7652
menthe	0.8353
bois	0.8818
creme	0.7383
boissons_alcoolisees	0.7443
sucre_cuit	0.7790
baie	0.6477
poudre	0.8189
viande_cuite	0.8384
pomme	0.9053
malte	0.8491
mielle	0.7840
solvant	0.8058
ananas	0.8465
fruit_rouge	0.7277
coumarine	0.8532
caramel	0.8783
mineral	0.6838
resineux	0.9046
alliace	0.9626
fruit_a_noyau	0.7461
metal	0.6992
metallique	0.6956
peponide	0.9037
melon	0.9065
brule	0.8104
feuille	0.6081
alcool_de_fut	0.7305
ether	0.8295
boisson_fermentee	0.7983
camphre	0.8702
miel	0.7936
citronne	0.8170
racine	0.7285
oignon	0.9616
crucifere	0.9098
lacte	0.6907
fleur_d_arbre	0.7941
vin	0.8266
fromage	0.8654
poire	0.9210
banane	0.8920
champignon	0.7060
cafe	0.8474
cacao	0.8325
musque	0.9091
savon	0.8411
beurre	0.7830
noix_de_coco	0.8646
anise	0.7429
pin	0.9384
vanille	0.8786
jasmin	0.7371
ambre	0.9241
ail	0.9667
musc	0.9197
cereale	0.8791
peche	0.8126
cerise	0.7935
violette	0.8563
rhum	0.7806
