Label	AUC-ROC
vegetal	0.6617
fruite	0.7454
frais	0.7411
vegetal_vert	0.7146
doux	0.6676
gras	0.6664
floral	0.7660
boise	0.7129
vert	0.7183
aldehyde	0.7185
chimique	0.7026
empyreumatique	0.8177
balsamique	0.7135
aldehyde_frais	0.7282
fruit_exotique	0.7522
herbe	0.7200
legume	0.7441
fermentaire	0.6795
phenole	0.7726
epice	0.6916
fleur_d_arbuste	0.7832
cuit	0.7796
terreux	0.6014
fruit_sec	0.7181
fleur_du_jardin	0.7496
agrume	0.8321
oleagineux	0.7708
lactique	0.7186
soufre	0.9061
plante_aromatique	0.7300
animal	0.7333
fruit_a_coque	0.7770
moisi	0.6460
fruit_a_pepins	0.8139
torrefie	0.8383
medicinal	0.8214
vegetal_sec	0.7174
rose	0.8173
huile	0.7664
lactone	0.7713
menthe	0.8641
bois	0.8014
creme	0.7259
boissons_alcoolisees	0.8611
sucre_cuit	0.7828
baie	0.6717
poudre	0.7886
viande_cuite	0.8936
pomme	0.8915
malte	0.7913
mielle	0.7379
solvant	0.9185
ananas	0.8581
fruit_rouge	0.7050
coumarine	0.7831
caramel	0.8337
mineral	0.6288
resineux	0.8506
alliace	0.9770
fruit_a_noyau	0.7966
metal	0.6370
metallique	0.6226
peponide	0.7731
melon	0.7718
brule	0.8853
feuille	0.7113
alcool_de_fut	0.8932
ether	0.9260
boisson_fermentee	0.8344
camphre	0.8534
miel	0.7383
citronne	0.7791
racine	0.4959
oignon	0.9679
crucifere	0.8121
lacte	0.7695
fleur_d_arbre	0.7943
vin	0.8407
fromage	0.7840
poire	0.8901
banane	0.8518
champignon	0.7449
cafe	0.8983
cacao	0.7884
musque	0.9084
savon	0.7329
beurre	0.8143
noix_de_coco	0.9071
anise	0.7631
pin	0.9220
vanille	0.8291
jasmin	0.8037
ambre	0.9494
ail	0.9696
musc	0.9400
cereale	0.8086
peche	0.8073
cerise	0.7894
violette	0.8478
rhum	0.8502
