Label	AUC-ROC
vegetal	0.6575
fruite	0.7346
frais	0.7341
vegetal_vert	0.7142
doux	0.6735
gras	0.6754
floral	0.7628
boise	0.7266
vert	0.7228
aldehyde	0.7152
chimique	0.7037
empyreumatique	0.8276
balsamique	0.7360
aldehyde_frais	0.7196
fruit_exotique	0.7462
herbe	0.7135
legume	0.7504
fermentaire	0.6727
phenole	0.7739
epice	0.6929
fleur_d_arbuste	0.7718
cuit	0.7736
terreux	0.6158
fruit_sec	0.7237
fleur_du_jardin	0.7529
agrume	0.8349
oleagineux	0.7699
lactique	0.7266
soufre	0.8971
plante_aromatique	0.7137
animal	0.7297
fruit_a_coque	0.7837
moisi	0.6414
fruit_a_pepins	0.8445
torrefie	0.8613
medicinal	0.8145
vegetal_sec	0.7003
rose	0.8173
huile	0.7510
lactone	0.7437
menthe	0.8507
bois	0.8030
creme	0.7498
boissons_alcoolisees	0.8483
sucre_cuit	0.7948
baie	0.6776
poudre	0.7786
viande_cuite	0.8782
pomme	0.8941
malte	0.8021
mielle	0.7439
solvant	0.9123
ananas	0.8488
fruit_rouge	0.7043
coumarine	0.7614
caramel	0.8563
mineral	0.6150
resineux	0.8572
alliace	0.9755
fruit_a_noyau	0.7680
metal	0.6308
metallique	0.6198
peponide	0.7856
melon	0.7838
brule	0.8786
feuille	0.7289
alcool_de_fut	0.8746
ether	0.9378
boisson_fermentee	0.8251
camphre	0.8444
miel	0.7427
citronne	0.7614
racine	0.5456
oignon	0.9655
crucifere	0.7931
lacte	0.7531
fleur_d_arbre	0.7782
vin	0.8278
fromage	0.8006
poire	0.9017
banane	0.8583
champignon	0.6904
cafe	0.9080
cacao	0.8006
musque	0.9098
savon	0.7077
beurre	0.8186
noix_de_coco	0.9000
anise	0.7201
pin	0.9072
vanille	0.8054
jasmin	0.8106
ambre	0.9494
ail	0.9690
musc	0.9377
cereale	0.8354
peche	0.7638
cerise	0.7548
violette	0.8080
rhum	0.8427
