Label	AUC-ROC
vegetal	0.7049
fruite	0.7184
frais	0.7376
vegetal_vert	0.7434
doux	0.7156
gras	0.6549
floral	0.7620
boise	0.7135
vert	0.7275
aldehyde	0.7587
chimique	0.6792
empyreumatique	0.8046
balsamique	0.6974
aldehyde_frais	0.7421
fruit_exotique	0.7461
herbe	0.7173
legume	0.7714
fermentaire	0.6596
phenole	0.8068
epice	0.7299
fleur_d_arbuste	0.7291
cuit	0.7830
terreux	0.7030
fruit_sec	0.7331
fleur_du_jardin	0.7331
agrume	0.8161
oleagineux	0.7594
lactique	0.7133
soufre	0.8757
plante_aromatique	0.7558
animal	0.6658
fruit_a_coque	0.7931
moisi	0.6862
fruit_a_pepins	0.7590
torrefie	0.7946
medicinal	0.8413
vegetal_sec	0.6546
rose	0.7479
huile	0.7200
lactone	0.7580
menthe	0.8807
bois	0.8211
creme	0.6783
boissons_alcoolisees	0.7846
sucre_cuit	0.7950
baie	0.7739
poudre	0.8380
viande_cuite	0.8393
pomme	0.8339
malte	0.7888
mielle	0.8251
solvant	0.8028
ananas	0.8312
fruit_rouge	0.7265
coumarine	0.7553
caramel	0.8400
mineral	0.6975
resineux	0.8666
alliace	0.9523
fruit_a_noyau	0.7362
metal	0.7174
metallique	0.7188
peponide	0.7925
melon	0.7942
brule	0.8657
feuille	0.6576
alcool_de_fut	0.8192
ether	0.8662
boisson_fermentee	0.7415
camphre	0.9212
miel	0.7974
citronne	0.8141
racine	0.5476
oignon	0.9804
crucifere	0.7893
lacte	0.7188
fleur_d_arbre	0.7765
vin	0.7629
fromage	0.7917
poire	0.8047
banane	0.8402
champignon	0.7190
cafe	0.8473
cacao	0.7496
musque	0.9490
savon	0.7681
beurre	0.8279
noix_de_coco	0.8190
anise	0.6389
pin	0.9327
vanille	0.8852
jasmin	0.8234
ambre	0.9056
ail	0.9763
musc	0.9787
cereale	0.8836
peche	0.7930
cerise	0.7956
violette	0.8330
rhum	0.8293
