Label	AUC-ROC
vegetal	0.6420
fruite	0.7395
frais	0.6995
vegetal_vert	0.6842
doux	0.7130
gras	0.6678
floral	0.7337
boise	0.7119
vert	0.6774
aldehyde	0.6976
chimique	0.7032
empyreumatique	0.8607
balsamique	0.7385
aldehyde_frais	0.6762
fruit_exotique	0.7412
herbe	0.6712
legume	0.7311
fermentaire	0.6784
phenole	0.7955
epice	0.7210
fleur_d_arbuste	0.7367
cuit	0.8613
terreux	0.6481
fruit_sec	0.7646
fleur_du_jardin	0.6749
agrume	0.7813
oleagineux	0.7803
lactique	0.6832
soufre	0.9446
plante_aromatique	0.7092
animal	0.7236
fruit_a_coque	0.7660
moisi	0.6622
fruit_a_pepins	0.8316
torrefie	0.8415
medicinal	0.8082
vegetal_sec	0.7085
rose	0.7188
huile	0.6798
lactone	0.7148
menthe	0.8434
bois	0.7866
creme	0.6814
boissons_alcoolisees	0.8119
sucre_cuit	0.8077
baie	0.6444
poudre	0.7929
viande_cuite	0.9366
pomme	0.8779
malte	0.7921
mielle	0.7378
solvant	0.8727
ananas	0.8286
fruit_rouge	0.7738
coumarine	0.7741
caramel	0.8265
mineral	0.6314
resineux	0.8520
alliace	0.9696
fruit_a_noyau	0.7762
metal	0.6533
metallique	0.6391
peponide	0.7659
melon	0.7655
brule	0.8567
feuille	0.6826
alcool_de_fut	0.8649
ether	0.8783
boisson_fermentee	0.7917
camphre	0.8706
miel	0.7692
citronne	0.8347
racine	0.6726
oignon	0.9674
crucifere	0.8560
lacte	0.6607
fleur_d_arbre	0.7586
vin	0.8209
fromage	0.8044
poire	0.9045
banane	0.8819
champignon	0.7120
cafe	0.9092
cacao	0.7835
musque	0.8963
savon	0.8488
beurre	0.7762
noix_de_coco	0.8965
anise	0.8132
pin	0.8623
vanille	0.9201
jasmin	0.8096
ambre	0.8868
ail	0.9785
musc	0.9109
cereale	0.8800
peche	0.7884
cerise	0.8871
violette	0.7284
rhum	0.8470
