Label	AUC-ROC
vegetal	0.6455
fruite	0.6867
frais	0.6789
vegetal_vert	0.6928
doux	0.5932
gras	0.5562
floral	0.6772
boise	0.6536
vert	0.6009
aldehyde	0.6596
chimique	0.5925
empyreumatique	0.7547
balsamique	0.5743
aldehyde_frais	0.6414
fruit_exotique	0.6909
herbe	0.6667
legume	0.7311
fermentaire	0.6024
phenole	0.7387
epice	0.6051
fleur_d_arbuste	0.6222
cuit	0.6989
terreux	0.5873
fruit_sec	0.7134
fleur_du_jardin	0.6839
agrume	0.7631
oleagineux	0.7087
lactique	0.6065
soufre	0.8234
plante_aromatique	0.6771
animal	0.5982
fruit_a_coque	0.7894
moisi	0.6177
fruit_a_pepins	0.6689
torrefie	0.6982
medicinal	0.6990
vegetal_sec	0.6098
rose	0.6373
huile	0.6946
lactone	0.5749
menthe	0.8213
bois	0.7967
creme	0.4618
boissons_alcoolisees	0.7337
sucre_cuit	0.6734
baie	0.4846
poudre	0.7535
viande_cuite	0.7307
pomme	0.7124
malte	0.7166
mielle	0.6536
solvant	0.7480
ananas	0.7145
fruit_rouge	0.6330
coumarine	0.5940
caramel	0.7695
mineral	0.6296
resineux	0.8611
alliace	0.9077
fruit_a_noyau	0.6342
metal	0.6322
metallique	0.4730
peponide	0.7657
melon	0.7021
brule	0.8279
feuille	0.6513
alcool_de_fut	0.7246
ether	0.8017
boisson_fermentee	0.6706
camphre	0.8550
miel	0.6452
citronne	0.7348
racine	0.5577
oignon	0.8851
crucifere	0.7514
lacte	0.5060
fleur_d_arbre	0.6942
vin	0.7623
fromage	0.7603
poire	0.7484
banane	0.7730
champignon	0.7247
cafe	0.7838
cacao	0.6556
musque	0.9197
savon	0.7587
beurre	0.6391
noix_de_coco	0.5575
anise	0.5920
pin	0.9026
vanille	0.8075
jasmin	0.7176
ambre	0.8905
ail	0.9776
musc	0.9566
cereale	0.8985
peche	0.6178
cerise	0.6514
violette	0.6224
rhum	0.7989
