Label	AUC-ROC
vegetal	0.6897
fruite	0.7501
frais	0.7392
vegetal_vert	0.7189
doux	0.7123
gras	0.6643
floral	0.7577
boise	0.7691
vert	0.7479
aldehyde	0.7178
chimique	0.7148
empyreumatique	0.8150
balsamique	0.7836
aldehyde_frais	0.7097
fruit_exotique	0.7783
herbe	0.6988
legume	0.8203
fermentaire	0.7126
phenole	0.7752
epice	0.7321
fleur_d_arbuste	0.7875
cuit	0.7914
terreux	0.6514
fruit_sec	0.7811
fleur_du_jardin	0.7303
agrume	0.7748
oleagineux	0.8037
lactique	0.7441
soufre	0.9559
plante_aromatique	0.7931
animal	0.7041
fruit_a_coque	0.7994
moisi	0.6853
fruit_a_pepins	0.8524
torrefie	0.8670
medicinal	0.8210
vegetal_sec	0.7029
rose	0.8744
huile	0.7276
lactone	0.7565
menthe	0.8455
bois	0.8728
creme	0.7716
boissons_alcoolisees	0.7333
sucre_cuit	0.7963
baie	0.6797
poudre	0.8071
viande_cuite	0.8669
pomme	0.9086
malte	0.8684
mielle	0.7816
solvant	0.8207
ananas	0.8777
fruit_rouge	0.7492
coumarine	0.8641
caramel	0.8814
mineral	0.6868
resineux	0.8987
alliace	0.9674
fruit_a_noyau	0.7480
metal	0.7093
metallique	0.7076
peponide	0.9196
melon	0.9208
brule	0.8293
feuille	0.6821
alcool_de_fut	0.6951
ether	0.8296
boisson_fermentee	0.8007
camphre	0.8733
miel	0.7980
citronne	0.8450
racine	0.7207
oignon	0.9681
crucifere	0.9177
lacte	0.7429
fleur_d_arbre	0.8148
vin	0.8265
fromage	0.8739
poire	0.9146
banane	0.9211
champignon	0.7135
cafe	0.8801
cacao	0.8826
musque	0.9260
savon	0.8462
beurre	0.7991
noix_de_coco	0.8796
anise	0.7628
pin	0.9479
vanille	0.9148
jasmin	0.8393
ambre	0.9287
ail	0.9723
musc	0.9258
cereale	0.8885
peche	0.7994
cerise	0.8254
violette	0.8818
rhum	0.7412
