Label	AUC-ROC
vegetal	0.6367
fruite	0.7433
frais	0.7060
vegetal_vert	0.6883
doux	0.7132
gras	0.6712
floral	0.7367
boise	0.7143
vert	0.6807
aldehyde	0.6989
chimique	0.7041
empyreumatique	0.8604
balsamique	0.7381
aldehyde_frais	0.6762
fruit_exotique	0.7390
herbe	0.6685
legume	0.7287
fermentaire	0.6724
phenole	0.7868
epice	0.7117
fleur_d_arbuste	0.7441
cuit	0.8543
terreux	0.6461
fruit_sec	0.7631
fleur_du_jardin	0.6796
agrume	0.7914
oleagineux	0.7828
lactique	0.6861
soufre	0.9466
plante_aromatique	0.7035
animal	0.7195
fruit_a_coque	0.7654
moisi	0.6410
fruit_a_pepins	0.8377
torrefie	0.8454
medicinal	0.8029
vegetal_sec	0.6917
rose	0.7259
huile	0.6791
lactone	0.7286
menthe	0.8373
bois	0.7746
creme	0.7018
boissons_alcoolisees	0.8241
sucre_cuit	0.7923
baie	0.6210
poudre	0.7929
viande_cuite	0.9401
pomme	0.8745
malte	0.7952
mielle	0.7349
solvant	0.8805
ananas	0.8206
fruit_rouge	0.7826
coumarine	0.7805
caramel	0.8251
mineral	0.6332
resineux	0.8554
alliace	0.9702
fruit_a_noyau	0.7821
metal	0.6675
metallique	0.6479
peponide	0.7547
melon	0.7536
brule	0.8672
feuille	0.6699
alcool_de_fut	0.8798
ether	0.8776
boisson_fermentee	0.7978
camphre	0.8754
miel	0.7675
citronne	0.8471
racine	0.5615
oignon	0.9670
crucifere	0.8637
lacte	0.6349
fleur_d_arbre	0.7530
vin	0.8352
fromage	0.8129
poire	0.9115
banane	0.8663
champignon	0.7006
cafe	0.9067
cacao	0.7825
musque	0.9026
savon	0.8493
beurre	0.7962
noix_de_coco	0.8892
anise	0.7786
pin	0.8818
vanille	0.9210
jasmin	0.7980
ambre	0.8968
ail	0.9770
musc	0.9175
cereale	0.8744
peche	0.8094
cerise	0.8867
violette	0.7228
rhum	0.8573
