Label	AUC-ROC
vegetal	0.6266
fruite	0.7203
frais	0.7029
vegetal_vert	0.6785
doux	0.6776
gras	0.6433
floral	0.7227
boise	0.6994
vert	0.6698
aldehyde	0.6897
chimique	0.6687
empyreumatique	0.8562
balsamique	0.6726
aldehyde_frais	0.6576
fruit_exotique	0.7101
herbe	0.6587
legume	0.7204
fermentaire	0.6469
phenole	0.7668
epice	0.7075
fleur_d_arbuste	0.7224
cuit	0.8499
terreux	0.6606
fruit_sec	0.7365
fleur_du_jardin	0.6738
agrume	0.7818
oleagineux	0.7460
lactique	0.6735
soufre	0.9388
plante_aromatique	0.7048
animal	0.7107
fruit_a_coque	0.7632
moisi	0.6143
fruit_a_pepins	0.8114
torrefie	0.8327
medicinal	0.7620
vegetal_sec	0.6868
rose	0.6939
huile	0.6435
lactone	0.7214
menthe	0.8375
bois	0.7635
creme	0.6301
boissons_alcoolisees	0.7885
sucre_cuit	0.7706
baie	0.6149
poudre	0.7536
viande_cuite	0.9402
pomme	0.8393
malte	0.7853
mielle	0.7392
solvant	0.8623
ananas	0.7958
fruit_rouge	0.7375
coumarine	0.7512
caramel	0.8184
mineral	0.6841
resineux	0.8369
alliace	0.9714
fruit_a_noyau	0.7772
metal	0.6744
metallique	0.6778
peponide	0.7786
melon	0.7758
brule	0.8557
feuille	0.6643
alcool_de_fut	0.8419
ether	0.8622
boisson_fermentee	0.7787
camphre	0.8735
miel	0.7730
citronne	0.8214
racine	0.6595
oignon	0.9682
crucifere	0.8534
lacte	0.5962
fleur_d_arbre	0.7342
vin	0.8020
fromage	0.8219
poire	0.8912
banane	0.8371
champignon	0.7126
cafe	0.8954
cacao	0.7564
musque	0.8553
savon	0.8443
beurre	0.7685
noix_de_coco	0.8391
anise	0.7904
pin	0.8546
vanille	0.8927
jasmin	0.7151
ambre	0.8808
ail	0.9743
musc	0.9073
cereale	0.8724
peche	0.7580
cerise	0.8584
violette	0.7180
rhum	0.8057
