Label	AUC-ROC
vegetal	0.6949
fruite	0.7443
frais	0.7306
vegetal_vert	0.7031
doux	0.6765
gras	0.6977
floral	0.7359
boise	0.7197
vert	0.6803
aldehyde	0.7291
chimique	0.6909
empyreumatique	0.8057
balsamique	0.6846
aldehyde_frais	0.7222
fruit_exotique	0.7504
herbe	0.7002
legume	0.7790
fermentaire	0.7014
phenole	0.8003
epice	0.7161
fleur_d_arbuste	0.7476
cuit	0.7738
terreux	0.6249
fruit_sec	0.7391
fleur_du_jardin	0.7077
agrume	0.7899
oleagineux	0.7544
lactique	0.7270
soufre	0.9383
plante_aromatique	0.7381
animal	0.6426
fruit_a_coque	0.7678
moisi	0.6349
fruit_a_pepins	0.7860
torrefie	0.8356
medicinal	0.7950
vegetal_sec	0.7133
rose	0.7639
huile	0.7810
lactone	0.7741
menthe	0.8457
bois	0.8539
creme	0.7452
boissons_alcoolisees	0.8115
sucre_cuit	0.7168
baie	0.7084
poudre	0.7786
viande_cuite	0.8851
pomme	0.8183
malte	0.8238
mielle	0.8811
solvant	0.8842
ananas	0.8358
fruit_rouge	0.7436
coumarine	0.8198
caramel	0.7816
mineral	0.5374
resineux	0.8804
alliace	0.9617
fruit_a_noyau	0.8274
metal	0.5489
metallique	0.5584
peponide	0.7359
melon	0.7445
brule	0.8699
feuille	0.6901
alcool_de_fut	0.8744
ether	0.8922
boisson_fermentee	0.7643
camphre	0.9397
miel	0.9020
citronne	0.8831
racine	0.6796
oignon	0.9665
crucifere	0.8110
lacte	0.7404
fleur_d_arbre	0.7805
vin	0.7762
fromage	0.8244
poire	0.8637
banane	0.8958
champignon	0.7366
cafe	0.8760
cacao	0.7888
musque	0.8389
savon	0.7523
beurre	0.8189
noix_de_coco	0.9291
anise	0.6899
pin	0.9026
vanille	0.8547
jasmin	0.8619
ambre	0.8722
ail	0.9581
musc	0.8928
cereale	0.8628
peche	0.7915
cerise	0.7785
violette	0.7741
rhum	0.8724
