Label	AUC-ROC
vegetal	0.6921
fruite	0.7586
frais	0.7332
vegetal_vert	0.7074
doux	0.7016
gras	0.6949
floral	0.7415
boise	0.7338
vert	0.6889
aldehyde	0.7291
chimique	0.7094
empyreumatique	0.8119
balsamique	0.7009
aldehyde_frais	0.7277
fruit_exotique	0.7748
herbe	0.7058
legume	0.7944
fermentaire	0.6955
phenole	0.8192
epice	0.7197
fleur_d_arbuste	0.7628
cuit	0.7779
terreux	0.6301
fruit_sec	0.7489
fleur_du_jardin	0.7101
agrume	0.7870
oleagineux	0.7615
lactique	0.7344
soufre	0.9386
plante_aromatique	0.7102
animal	0.6554
fruit_a_coque	0.7684
moisi	0.6288
fruit_a_pepins	0.8021
torrefie	0.8408
medicinal	0.8234
vegetal_sec	0.7172
rose	0.7754
huile	0.7790
lactone	0.7862
menthe	0.8343
bois	0.8661
creme	0.7793
boissons_alcoolisees	0.8175
sucre_cuit	0.7333
baie	0.7435
poudre	0.7955
viande_cuite	0.8910
pomme	0.8358
malte	0.8300
mielle	0.8895
solvant	0.8933
ananas	0.8467
fruit_rouge	0.7622
coumarine	0.8320
caramel	0.7993
mineral	0.5331
resineux	0.8901
alliace	0.9636
fruit_a_noyau	0.8358
metal	0.5506
metallique	0.5538
peponide	0.7514
melon	0.7640
brule	0.8767
feuille	0.6762
alcool_de_fut	0.8763
ether	0.9064
boisson_fermentee	0.7728
camphre	0.9249
miel	0.8992
citronne	0.8760
racine	0.6461
oignon	0.9670
crucifere	0.7953
lacte	0.7334
fleur_d_arbre	0.7795
vin	0.7876
fromage	0.8101
poire	0.8758
banane	0.9181
champignon	0.7289
cafe	0.8979
cacao	0.8037
musque	0.8389
savon	0.7604
beurre	0.8335
noix_de_coco	0.9329
anise	0.6697
pin	0.8971
vanille	0.8532
jasmin	0.8819
ambre	0.8750
ail	0.9591
musc	0.8907
cereale	0.8584
peche	0.7869
cerise	0.7950
violette	0.7564
rhum	0.8695
