Label	AUC-ROC
vegetal	0.6985
fruite	0.7437
frais	0.7417
vegetal_vert	0.7238
doux	0.6975
gras	0.6621
floral	0.7481
boise	0.7734
vert	0.7460
aldehyde	0.7241
chimique	0.6894
empyreumatique	0.8087
balsamique	0.7746
aldehyde_frais	0.7170
fruit_exotique	0.7843
herbe	0.7044
legume	0.8110
fermentaire	0.6968
phenole	0.7714
epice	0.7189
fleur_d_arbuste	0.7736
cuit	0.7883
terreux	0.6726
fruit_sec	0.7672
fleur_du_jardin	0.7324
agrume	0.7778
oleagineux	0.7907
lactique	0.7331
soufre	0.9543
plante_aromatique	0.7872
animal	0.6614
fruit_a_coque	0.7981
moisi	0.6792
fruit_a_pepins	0.8701
torrefie	0.8578
medicinal	0.8135
vegetal_sec	0.6903
rose	0.8638
huile	0.7174
lactone	0.7379
menthe	0.8345
bois	0.8805
creme	0.7473
boissons_alcoolisees	0.7152
sucre_cuit	0.7850
baie	0.6537
poudre	0.8015
viande_cuite	0.8580
pomme	0.9237
malte	0.8746
mielle	0.7851
solvant	0.8308
ananas	0.8850
fruit_rouge	0.7240
coumarine	0.8351
caramel	0.8669
mineral	0.7004
resineux	0.9128
alliace	0.9680
fruit_a_noyau	0.7477
metal	0.7138
metallique	0.7092
peponide	0.9149
melon	0.9164
brule	0.8422
feuille	0.6715
alcool_de_fut	0.7021
ether	0.8419
boisson_fermentee	0.7712
camphre	0.8585
miel	0.7736
citronne	0.8468
racine	0.7414
oignon	0.9669
crucifere	0.9094
lacte	0.7258
fleur_d_arbre	0.8097
vin	0.8013
fromage	0.8669
poire	0.9249
banane	0.9122
champignon	0.7177
cafe	0.8780
cacao	0.8739
musque	0.9112
savon	0.8402
beurre	0.8107
noix_de_coco	0.8599
anise	0.7324
pin	0.9471
vanille	0.9054
jasmin	0.7750
ambre	0.9273
ail	0.9703
musc	0.9222
cereale	0.8886
peche	0.8292
cerise	0.7998
violette	0.8682
rhum	0.7438
