fold,epoch,train_precision,train_recall,train_f1,train_auroc,val_precision,val_recall,val_f1,val_auroc
1,1,0.07117027494141277,0.3970536061498432,0.11229856811178572,0.5418424564409168,0.2887597174211163,0.19273272379225184,0.09934696433482468,0.6246803177393646
1,2,0.09847248240354281,0.1941277283212847,0.12398876246644912,0.6142215017755531,0.6813860374911002,0.20129742445658838,0.13842191916541263,0.7389045379946383
1,3,0.14046001253785986,0.2038400237057854,0.14352592769460315,0.6826229056565901,0.6882337069856527,0.21814106553443458,0.1510603722374563,0.7564629030720573
1,4,0.16793446714690655,0.23329401351731657,0.16766577893326212,0.7147941830109307,0.6536130362150036,0.2555375901931281,0.18202825440700296,0.7878776933552264
1,5,0.16937168390639132,0.24781295531311615,0.17858209583947565,0.7364099772683451,0.6043937562451853,0.3015121092057741,0.2075467082881874,0.797858155769567
1,6,0.1942693215321215,0.27609786967271227,0.19625490661378464,0.7548777642347985,0.5953527906226196,0.3040235577295058,0.21424355773587694,0.8116568081909044
1,7,0.20095108790903793,0.279909248304476,0.20208067066604318,0.7621844433363405,0.5477170637562077,0.33336374996007173,0.231714557291649,0.8220527379836136
1,8,0.2331271887166773,0.30374492530201214,0.2203485094229557,0.7784157431306,0.5263289817988887,0.337174895841218,0.23504266072332766,0.8228726033034676
1,9,0.21729666758778154,0.3100568694483844,0.22237950911327226,0.7850833048120038,0.5364232547461923,0.34694439768249336,0.24031978051278777,0.8310250035073288
1,10,0.21721512551130862,0.3137242687938639,0.2288892631053616,0.7887186133354184,0.48584248884103204,0.3719664041646824,0.26001824514483857,0.8342123874316373
1,11,0.22324401700772478,0.32453668953465736,0.23840503469179664,0.7977143563107851,0.5068306371444364,0.36136764385065373,0.26013593186470324,0.836580577411258
1,12,0.23679107076367512,0.3300370106526357,0.24239915668889933,0.7976579843670555,0.47966740547380193,0.3744862079731666,0.26903970165258856,0.8385002916189173
1,13,0.23937930935511412,0.33670209675432233,0.24783014864336578,0.8038523055207615,0.4829673203215829,0.36190720482169936,0.2638646753792057,0.8262215209711372
1,14,0.23159472499118325,0.3469078936386597,0.25495467169119285,0.8091153234959054,0.48594557428909674,0.39297855006829857,0.2836083205243118,0.8450642327213913
1,15,0.23049403190402581,0.35062298835309846,0.25662906044507405,0.8103275028754355,0.4666408372243959,0.4059278759883498,0.29343220518811003,0.8441733177665881
1,16,0.24087600641162082,0.3611347894123638,0.26451491795230625,0.8173281396517794,0.45175240452260307,0.3968281373250905,0.2925912172222114,0.8450946844838919
1,17,0.24418623276108836,0.3599614905704161,0.26293760045400083,0.8173936315698491,0.45495652352340715,0.40451979483748735,0.2926152285463072,0.8475866191587504
1,18,0.2598937392758394,0.36561217621574493,0.2729788776690132,0.8188419514909635,0.43638693712901666,0.4119854626954815,0.29945028154103853,0.8481979830968364
1,19,0.26593793723706155,0.3812208174003605,0.276264351049403,0.8252595653149419,0.4310130670763636,0.41819939329649497,0.29431187050091556,0.8503785582659257
1,20,0.23293787152286685,0.3679145372550595,0.2705388181429225,0.8194908821102836,0.4173207024178354,0.4215197445513316,0.30382215372665905,0.8526367864740181
1,21,0.2595135983604276,0.3738675598609961,0.27515092473718045,0.8245790517108615,0.4240429620578238,0.4172641073478654,0.2995795877172882,0.8478150872527109
1,22,0.25947964982029126,0.3785248291306065,0.28153305107136206,0.8286494019373135,0.4374555614471571,0.4192180239177663,0.309750036893932,0.8545056842490836
1,23,0.23991543065275356,0.3754904738764009,0.279073196160375,0.8242167011161239,0.4261270718084735,0.4325821838135303,0.31149352041015194,0.8560487521961477
1,24,0.26101074508236694,0.38622551785804926,0.2842731176886196,0.8334662041385865,0.40005530380385007,0.43324498292051367,0.30107274204365614,0.8520615652378595
1,25,0.2677812980615937,0.38611065837206066,0.28730483350827984,0.828652753188536,0.4191326678364889,0.4371572001102094,0.3136721645165009,0.8561746264239067
1,26,0.2639877522765973,0.38926387109932803,0.28788193317951055,0.8312098845956855,0.4359399576345294,0.428937210723794,0.3057040773882916,0.8527793375386945
1,27,0.2579955587729527,0.3945720481415122,0.29209951949455926,0.8373688597710346,0.4346203692421669,0.4341760855791786,0.31578958895977677,0.8555815692594142
1,28,0.2501022512788591,0.39588703112414425,0.28951878455294916,0.8330215563682848,0.40638188597505726,0.44461175142168047,0.3148548429034924,0.8580587369153057
1,29,0.27620410573701365,0.40156391114713935,0.2993644176392016,0.8372294873824835,0.4096935369192505,0.45525732168177807,0.31722859460302805,0.8583549556819793
1,30,0.2753256474936411,0.40719175554888365,0.29892017243286273,0.8366868079286215,0.40589549156096555,0.44794047448809793,0.32495500044522097,0.8600926699077451
1,31,0.28033013526154976,0.3976200941775496,0.29597425540370625,0.8340627213640223,0.4202573506361585,0.4491404896891134,0.32416621538065243,0.8592440641955286
1,32,0.27294956182388813,0.4067211756050243,0.3028479065047276,0.8418735907528004,0.4097130789279711,0.43962860583517704,0.3281141438086848,0.8572502120959932
1,33,0.26993259516373735,0.4127083747326621,0.30440567881705194,0.839297511525513,0.3909566096515251,0.44836606032779375,0.3303231030565948,0.8601232868669465
1,34,0.2609244691748805,0.409229721708929,0.30419205952055756,0.8377270719095019,0.42184660584022293,0.45216331459381265,0.332797165091664,0.8626475069759438
1,35,0.2844463021817787,0.42280561199587785,0.3123548858891984,0.8442872839562962,0.41129834042069435,0.4579894054022542,0.32784790603758385,0.8602954524476928
1,36,0.2809641692745553,0.4039879827683024,0.2996755937616548,0.8383277372815199,0.3915712489134322,0.46304287611682615,0.3336991278318582,0.8620980535814353
1,37,0.27310964477705074,0.41264777176481765,0.30917656338592675,0.8429006888007234,0.39853661398429135,0.44931078592320706,0.3238830842873566,0.857523239688945
